"Source","Line","Kind","Raw","External","Resolved","Exists","CaseExact"
"courses/nursing/central/nvs-school-nurse.html","1616","attr","../../../assets/images/mentors/NAYANA.jpeg","False","assets/images/mentors/NAYANA.jpeg","True","True"
"courses/nursing/central/nvs-school-nurse.html","1616","string","../../../assets/images/mentors/NAYANA.jpeg","False","assets/images/mentors/NAYANA.jpeg","True","True"
"courses/nursing/central/nvs-school-nurse.html","1640","attr","../../../assets/images/mentors/VIDHU.JPG.jpeg","False","assets/images/mentors/VIDHU.JPG.jpeg","True","True"
"courses/nursing/central/nvs-school-nurse.html","1640","string","../../../assets/images/mentors/VIDHU.JPG.jpeg","False","assets/images/mentors/VIDHU.JPG.jpeg","True","True"
"courses/nursing/central/nvs-school-nurse.html","1681","attr","https://img.youtube.com/vi/E1X1RFFt138/maxresdefault.jpg","True",,,
"courses/nursing/central/nvs-school-nurse.html","1681","string","https://img.youtube.com/vi/E1X1RFFt138/maxresdefault.jpg","True",,,
"courses/nursing/central/nvs-school-nurse.html","1690","attr","https://img.youtube.com/vi/E1X1RFFt138/maxresdefault.jpg","True",,,
"courses/nursing/central/nvs-school-nurse.html","1690","string","https://img.youtube.com/vi/E1X1RFFt138/maxresdefault.jpg","True",,,
"courses/nursing/central/nvs-school-nurse.html","1707","attr","https://img.youtube.com/vi/E1X1RFFt138/maxresdefault.jpg","True",,,
"courses/nursing/central/nvs-school-nurse.html","1707","string","https://img.youtube.com/vi/E1X1RFFt138/maxresdefault.jpg","True",,,
"courses/nursing/central/nvs-school-nurse.html","1711","attr","https://img.youtube.com/vi/E1X1RFFt138/maxresdefault.jpg","True",,,
"courses/nursing/central/nvs-school-nurse.html","1711","string","https://img.youtube.com/vi/E1X1RFFt138/maxresdefault.jpg","True",,,
"courses/nursing/central/nvs-school-nurse.html","1722","attr","https://img.youtube.com/vi/4J_sUv_L5f0/maxresdefault.jpg","True",,,
"courses/nursing/central/nvs-school-nurse.html","1722","string","https://img.youtube.com/vi/4J_sUv_L5f0/maxresdefault.jpg","True",,,
"courses/nursing/central/nvs-school-nurse.html","1726","attr","https://img.youtube.com/vi/4J_sUv_L5f0/maxresdefault.jpg","True",,,
"courses/nursing/central/nvs-school-nurse.html","1726","string","https://img.youtube.com/vi/4J_sUv_L5f0/maxresdefault.jpg","True",,,
"courses/nursing/central/nvs-school-nurse.html","1737","attr","https://img.youtube.com/vi/XjogZEgAA2M/maxresdefault.jpg","True",,,
"courses/nursing/central/nvs-school-nurse.html","1737","string","https://img.youtube.com/vi/XjogZEgAA2M/maxresdefault.jpg","True",,,
"courses/nursing/central/nvs-school-nurse.html","1741","attr","https://img.youtube.com/vi/XjogZEgAA2M/maxresdefault.jpg","True",,,
"courses/nursing/central/nvs-school-nurse.html","1741","string","https://img.youtube.com/vi/XjogZEgAA2M/maxresdefault.jpg","True",,,
"courses/nursing/central/nvs-school-nurse.html","1855","attr","../../../assets/images/Eduooz-App/eduooz-app-image (1).jpeg","False","assets/images/Eduooz-App/eduooz-app-image (1).jpeg","True","True"
"courses/nursing/central/nvs-school-nurse.html","1855","string","../../../assets/images/Eduooz-App/eduooz-app-image (1).jpeg","False","assets/images/Eduooz-App/eduooz-app-image (1).jpeg","True","True"
"courses/nursing/central/nvs-school-nurse.html","1858","attr","../../../assets/images/Eduooz-App/eduooz-app-image (2).jpeg","False","assets/images/Eduooz-App/eduooz-app-image (2).jpeg","True","True"
"courses/nursing/central/nvs-school-nurse.html","1858","string","../../../assets/images/Eduooz-App/eduooz-app-image (2).jpeg","False","assets/images/Eduooz-App/eduooz-app-image (2).jpeg","True","True"
"courses/nursing/central/nvs-school-nurse.html","1861","attr","../../../assets/images/Eduooz-App/eduooz-app-image (3).jpeg","False","assets/images/Eduooz-App/eduooz-app-image (3).jpeg","True","True"
"courses/nursing/central/nvs-school-nurse.html","1861","string","../../../assets/images/Eduooz-App/eduooz-app-image (3).jpeg","False","assets/images/Eduooz-App/eduooz-app-image (3).jpeg","True","True"
"courses/nursing/central/nvs-school-nurse.html","1864","attr","../../../assets/images/Eduooz-App/eduooz-app-image (4).jpeg","False","assets/images/Eduooz-App/eduooz-app-image (4).jpeg","True","True"
"courses/nursing/central/nvs-school-nurse.html","1864","string","../../../assets/images/Eduooz-App/eduooz-app-image (4).jpeg","False","assets/images/Eduooz-App/eduooz-app-image (4).jpeg","True","True"
"courses/nursing/central/nvs-school-nurse.html","1867","attr","../../../assets/images/Eduooz-App/eduooz-app-image (5).jpeg","False","assets/images/Eduooz-App/eduooz-app-image (5).jpeg","True","True"
"courses/nursing/central/nvs-school-nurse.html","1867","string","../../../assets/images/Eduooz-App/eduooz-app-image (5).jpeg","False","assets/images/Eduooz-App/eduooz-app-image (5).jpeg","True","True"
"courses/nursing/central/nvs-school-nurse.html","1870","attr","../../../assets/images/Eduooz-App/eduooz-app-image (6).jpeg","False","assets/images/Eduooz-App/eduooz-app-image (6).jpeg","True","True"
"courses/nursing/central/nvs-school-nurse.html","1870","string","../../../assets/images/Eduooz-App/eduooz-app-image (6).jpeg","False","assets/images/Eduooz-App/eduooz-app-image (6).jpeg","True","True"
"courses/nursing/central/pgimer-nursing.html","2078","attr","../../../assets/images/eduooz-log.png","False","assets/images/eduooz-log.png","True","True"
"courses/nursing/central/pgimer-nursing.html","2078","string","../../../assets/images/eduooz-log.png","False","assets/images/eduooz-log.png","True","True"
"courses/nursing/central/pgimer-nursing.html","2081","attr","../../../assets/images/eduooz-log.png","False","assets/images/eduooz-log.png","True","True"
"courses/nursing/central/pgimer-nursing.html","2081","string","../../../assets/images/eduooz-log.png","False","assets/images/eduooz-log.png","True","True"
